6938955,3054393,2237,2237,2237
452,8216465,452,792357,990333
1481831,7959096,556507,1313,1313
5637375,4356613,2024,2024,2024
5801378,4190630,2684,2684,2684
4895812,5099742,1502,1502,1502
6358244,3634349,2489,2489,2489
8151504,790744,264976,790744,2091
8264941,1384,1384,1730966,1384
6497500,3499175,1128,1128,1128
9989726,2583,2583,2583,2583
7732029,2263986,1348,1348,1348
7643090,1422,2156764,1422,197362
7493893,1389581,1112112,2237,2237
9984852,3802,3802,3802,3802
5795406,4201920,911,911,911
7643090,2352704,1422,1422,1422
6988913,2997792,4451,4451,4451
8120319,417892,1458760,1544,1544
9998044,504,504,504,504
6109969,333813,573,3555131,573
7562078,2435750,744,744,744
9993706,1588,1588,1588,1588
7658804,2791,2791,2332882,2791
8692654,1304672,911,911,911
6035050,3960965,1348,1348,1348
5760571,2880863,1356313,1156,1156
7041124,2953736,1733,1733,1733
9807034,48256,48256,48256,48256
5774634,4220378,1683,1683,1683
6663103,3124150,209718,1544,1544
2583,9989726,2583,2583,2583
1279,4725556,1279,1454903,3817041
1786,9063508,931193,1786,1786
598,9997666,598,598,598
380,5595681,380,1284547,3119072
1216,9995197,1216,1216,1216
1348,6977817,1348,1348,3018199
1683,6884816,1683,1683,3110195
1128,3665748,1128,1833438,4498617
157195,9839792,1024,1024,1024
1667142,8324544,2791,2791,2791
2162,4321837,2162,2162,5671736
2162,4321837,2162,2162,5671736
1091497,8904724,1279,1279,1279
954,8653592,954,1343605,954
1683,9993328,1683,1683,1683
2583,8117137,1250976,2583,626780
3802,9984852,3802,3802,3802
813,7700430,2027028,270975,813
3332324,6663103,1544,1544,1544
3264375,6731179,1502,1502,1502
9993127,1733,1733,1733,1733
9993127,1733,1733,1733,1733
3028,9987946,3028,3028,3028
19270,9922980,19270,19270,19270
932,8967392,932,932,1029870
2684,9989324,2684,2684,2684
1899,9992463,1899,1899,1899
15996,9936076,15996,15996,15996
2162,4051858,2162,2162,5941715
2162,4591817,2162,2162,5401756
3332324,6663103,1544,1544,1544
813,7295187,813,1351623,1351623
954,9250326,954,746871,954
625,9997560,625,625,625
371442,7033772,2592219,1313,1313
813,7700430,2027028,270975,813
2237,6106549,2237,2237,3886799
2906,8611122,1380220,2906,2906
